inventory_key,inventory_scope,recipe_id,title,category,source,source_url,source_license,content_origin,difficulty,servings,prep_time,cook_time,total_time,ingredient_count,step_count,beginner_review_status,actual_cooking_test_status,image_rights_status,publish_status,last_reviewed_at,reviewer,source_record_status,source_type_original,source_type_app_projection,attribution,current_public_exposure
live_supabase:66ce4cba-4dc7-4e6f-a781-2a937dc864e0,live_supabase,66ce4cba-4dc7-4e6f-a781-2a937dc864e0,구운채소와 간장레몬 소스,반찬,mfds:93,,,public_api,,,,,,15,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:e6938cbe-0136-43a2-a93b-109a0d859ac5,live_supabase,e6938cbe-0136-43a2-a93b-109a0d859ac5,맑은부대찌개,국&찌개,mfds:276,,,public_api,,,,,,19,5,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:75156373-3367-4ed1-be78-4acbe3df10b5,live_supabase,75156373-3367-4ed1-be78-4acbe3df10b5,나가사키부대찌개,국&찌개,mfds:277,,,public_api,,,,,,25,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:c608940a-a02a-4a4f-8eb7-0bbc64c28c21,live_supabase,c608940a-a02a-4a4f-8eb7-0bbc64c28c21,삼계부대찌개,국&찌개,mfds:278,,,public_api,,,,,,22,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:6d820753-2b54-498a-9a3c-3b6cfafad380,live_supabase,6d820753-2b54-498a-9a3c-3b6cfafad380,쑥갓부대찌개,국&찌개,mfds:279,,,public_api,,,,,,13,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:80aeb6bf-b72b-43bb-9784-e22dbafe87a1,live_supabase,80aeb6bf-b72b-43bb-9784-e22dbafe87a1,칠곡석류국수,일품,mfds:111,,,public_api,,,,,,13,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:5d43a63e-3605-42ef-a2fb-b7e376c28d9d,live_supabase,5d43a63e-3605-42ef-a2fb-b7e376c28d9d,백태순두부찌개,국&찌개,mfds:281,,,public_api,,,,,,16,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:5bc71553-6138-4f19-b782-eafd396deca3,live_supabase,5bc71553-6138-4f19-b782-eafd396deca3,버섯순두부찌개,국&찌개,mfds:282,,,public_api,,,,,,17,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:f82a2f20-d196-4a89-973e-0e3e30628880,live_supabase,f82a2f20-d196-4a89-973e-0e3e30628880,곤약 콩조림,반찬,mfds:831,,,public_api,,,,,,0,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:b1c36d68-f372-4650-b4fa-51c20ffcca83,live_supabase,b1c36d68-f372-4650-b4fa-51c20ffcca83,토마토스프파스타,일품,mfds:385,,,public_api,,,,,,13,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:0cd4a5ca-e8ee-4cf4-97b1-02aee0e75cd9,live_supabase,0cd4a5ca-e8ee-4cf4-97b1-02aee0e75cd9,다이어트국수,일품,mfds:386,,,public_api,,,,,,10,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:96300a19-b524-4566-bc61-8d36184369bf,live_supabase,96300a19-b524-4566-bc61-8d36184369bf,오징어구이,반찬,mfds:387,,,public_api,,,,,,14,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:88257884-0497-4696-a5cc-16ef4fb261dd,live_supabase,88257884-0497-4696-a5cc-16ef4fb261dd,배숙구이,후식,mfds:388,,,public_api,,,,,,5,5,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:371f2aae-f908-4bff-a762-650a9bc8209e,live_supabase,371f2aae-f908-4bff-a762-650a9bc8209e,새우아욱죽,밥,mfds:395,,,public_api,,,,,,5,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
